idx,input,old_any,new_any,old_avg,new_avg,n_candidates,old_correct_samples,new_correct_samples,error
900,4 5 6 10,0,0,0.0,0.0,1,0,0,
901,1 2 4 7,0,0,0.0,0.0,1,0,0,
902,2 5 8 11,0,0,0.0,0.0,1,0,0,
903,3 4 4 13,0,0,0.0,0.0,1,0,0,
904,6 7 8 9,0,0,0.0,0.0,1,0,0,
905,1 11 11 13,0,0,0.0,0.0,1,0,0,
906,1 8 10 11,0,0,0.0,0.0,1,0,0,
907,2 3 6 9,0,0,0.0,0.0,1,0,0,
908,1 3 5 9,0,0,0.0,0.0,1,0,0,
909,3 3 7 12,0,0,0.0,0.0,1,0,0,
910,4 5 7 9,0,0,0.0,0.0,1,0,0,
911,1 2 8 13,0,0,0.0,0.0,1,0,0,
912,4 6 6 9,0,0,0.0,0.0,1,0,0,
913,1 4 4 8,0,0,0.0,0.0,1,0,0,
914,1 5 10 11,0,0,0.0,0.0,1,0,0,
915,3 4 6 11,0,0,0.0,0.0,1,0,0,
916,2 4 8 9,0,0,0.0,0.0,1,0,0,
917,1 4 5 13,0,0,0.0,0.0,1,0,0,
918,2 2 7 12,0,0,0.0,0.0,1,0,0,
919,3 3 6 7,0,0,0.0,0.0,1,0,0,
920,1 5 9 13,0,0,0.0,0.0,1,0,0,
921,5 6 7 13,0,0,0.0,0.0,1,0,0,
922,5 5 8 10,0,0,0.0,0.0,1,0,0,
923,2 4 6 12,0,0,0.0,0.0,1,0,0,
924,6 7 8 11,0,0,0.0,0.0,1,0,0,
925,7 9 9 13,0,0,0.0,0.0,1,0,0,
926,3 6 9 12,0,0,0.0,0.0,1,0,0,
927,6 9 12 13,0,0,0.0,0.0,1,0,0,
928,4 7 9 13,0,0,0.0,0.0,1,0,0,
929,5 6 8 12,0,0,0.0,0.0,1,0,0,
930,2 4 6 7,0,0,0.0,0.0,1,0,0,
931,2 5 10 10,0,0,0.0,0.0,1,0,0,
932,6 6 7 12,0,0,0.0,0.0,1,0,0,
933,6 9 9 11,0,0,0.0,0.0,1,0,0,
934,5 8 11 12,0,0,0.0,0.0,1,0,0,
935,5 6 8 10,0,0,0.0,0.0,1,0,0,
936,6 11 12 13,0,0,0.0,0.0,1,0,0,
937,2 2 8 8,0,0,0.0,0.0,1,0,0,
938,2 7 12 13,0,0,0.0,0.0,1,0,0,
939,2 6 8 12,0,0,0.0,0.0,1,0,0,
940,3 4 9 13,0,0,0.0,0.0,1,0,0,
941,4 5 10 12,0,0,0.0,0.0,1,0,0,
942,1 2 7 11,0,0,0.0,0.0,1,0,0,
943,4 5 6 8,0,0,0.0,0.0,1,0,0,
944,6 10 12 13,0,0,0.0,0.0,1,0,0,
945,1 3 9 9,0,0,0.0,0.0,1,0,0,
946,1 4 4 11,0,0,0.0,0.0,1,0,0,
947,2 3 9 10,0,0,0.0,0.0,1,0,0,
948,1 2 3 13,0,0,0.0,0.0,1,0,0,
949,1 6 6 6,0,0,0.0,0.0,1,0,0,
950,1 2 2 9,0,0,0.0,0.0,1,0,0,
951,1 3 6 11,0,0,0.0,0.0,1,0,0,
952,5 10 12 13,0,0,0.0,0.0,1,0,0,
953,2 3 6 6,1,1,1.0,1.0,1,1,1,
954,6 7 10 12,0,0,0.0,0.0,1,0,0,
955,7 8 8 12,0,0,0.0,0.0,1,0,0,
956,3 4 6 8,0,0,0.0,0.0,1,0,0,
957,1 7 9 11,0,0,0.0,0.0,1,0,0,
958,2 3 6 13,0,0,0.0,0.0,1,0,0,
959,2 2 5 12,0,0,0.0,0.0,1,0,0,
960,2 6 8 13,0,0,0.0,0.0,1,0,0,
961,8 8 10 12,0,0,0.0,0.0,1,0,0,
962,1 3 8 13,0,0,0.0,0.0,1,0,0,
963,4 4 7 10,0,0,0.0,0.0,1,0,0,
964,1 7 10 13,0,0,0.0,0.0,1,0,0,
965,1 9 10 13,0,0,0.0,0.0,1,0,0,
966,3 3 4 11,0,0,0.0,0.0,1,0,0,
967,2 5 7 7,0,0,0.0,0.0,1,0,0,
968,3 9 10 13,0,0,0.0,0.0,1,0,0,
969,2 3 4 7,0,0,0.0,0.0,1,0,0,
970,4 4 8 12,0,0,0.0,0.0,1,0,0,
971,1 2 6 10,0,0,0.0,0.0,1,0,0,
972,1 5 12 12,0,0,0.0,0.0,1,0,0,
973,5 6 6 8,1,1,1.0,1.0,1,1,1,
974,7 7 8 11,0,0,0.0,0.0,1,0,0,
975,1 3 7 10,0,0,0.0,0.0,1,0,0,
976,3 3 9 12,0,0,0.0,0.0,1,0,0,
977,3 5 7 10,0,0,0.0,0.0,1,0,0,
978,4 10 12 13,0,0,0.0,0.0,1,0,0,
979,2 3 10 12,0,0,0.0,0.0,1,0,0,
980,3 4 6 6,1,1,1.0,1.0,1,1,1,
981,5 8 8 8,0,0,0.0,0.0,1,0,0,
982,6 8 8 12,0,0,0.0,0.0,1,0,0,
983,2 3 4 9,0,0,0.0,0.0,1,0,0,
984,2 6 7 11,0,0,0.0,0.0,1,0,0,
985,5 9 12 12,0,0,0.0,0.0,1,0,0,
986,1 2 7 12,0,0,0.0,0.0,1,0,0,
987,2 4 5 6,0,0,0.0,0.0,1,0,0,
988,5 5 8 13,0,0,0.0,0.0,1,0,0,
989,2 3 3 10,0,0,0.0,0.0,1,0,0,
990,3 4 8 12,0,0,0.0,0.0,1,0,0,
991,2 4 6 11,0,0,0.0,0.0,1,0,0,
992,2 2 8 9,0,0,0.0,0.0,1,0,0,
