idx,input,old_any,new_any,old_avg,new_avg,n_candidates,unique_candidates,rollouts,old_correct_samples,new_correct_samples,error
900,4 5 6 10,0,0,0.0,0.0,25,23,5,0,0,
901,1 2 4 7,1,1,0.4444444444444444,0.4444444444444444,9,6,5,4,4,
902,2 5 8 11,1,1,1.0,1.0,6,2,5,6,6,
903,3 4 4 13,1,1,1.0,1.0,7,2,5,7,7,
904,6 7 8 9,1,1,0.047619047619047616,0.047619047619047616,21,18,5,1,1,
905,1 11 11 13,1,1,1.0,1.0,9,2,5,9,9,
906,1 8 10 11,0,0,0.0,0.0,25,16,5,0,0,
907,2 3 6 9,1,1,1.0,1.0,6,3,5,6,6,
908,1 3 5 9,1,1,0.23076923076923078,0.23076923076923078,13,9,5,3,3,
909,3 3 7 12,1,1,1.0,1.0,5,1,5,5,5,
910,4 5 7 9,1,1,0.11764705882352941,0.11764705882352941,17,11,5,2,2,
911,1 2 8 13,1,1,0.6153846153846154,0.6153846153846154,13,7,5,8,8,
912,4 6 6 9,1,1,1.0,1.0,5,1,5,5,5,
913,1 4 4 8,0,0,0.0,0.0,25,16,5,0,0,
914,1 5 10 11,0,0,0.0,0.0,25,18,5,0,0,
915,3 4 6 11,1,1,0.5,0.5,10,7,5,5,5,
916,2 4 8 9,0,0,0.0,0.0,25,19,5,0,0,
917,1 4 5 13,0,0,0.0,0.0,25,21,5,0,0,
918,2 2 7 12,0,0,0.0,0.0,25,23,5,0,0,
919,3 3 6 7,0,0,0.0,0.0,25,20,5,0,0,
920,1 5 9 13,1,1,1.0,1.0,5,1,5,5,5,
921,5 6 7 13,1,1,1.0,1.0,5,1,5,5,5,
922,5 5 8 10,0,0,0.0,0.0,25,20,5,0,0,
923,2 4 6 12,1,1,0.5454545454545454,0.5454545454545454,11,7,5,6,6,
924,6 7 8 11,1,1,1.0,1.0,5,1,5,5,5,
925,7 9 9 13,0,0,0.0,0.0,25,15,5,0,0,
926,3 6 9 12,1,1,1.0,1.0,12,3,5,12,12,
927,6 9 12 13,1,1,1.0,1.0,8,3,5,8,8,
928,4 7 9 13,0,0,0.0,0.0,25,17,5,0,0,
929,5 6 8 12,1,1,1.0,1.0,10,2,5,10,10,
930,2 4 6 7,0,0,0.0,0.0,25,22,5,0,0,
931,2 5 10 10,1,1,0.23076923076923078,0.23076923076923078,13,11,5,3,3,
932,6 6 7 12,1,1,1.0,1.0,5,1,5,5,5,
933,6 9 9 11,0,0,0.0,0.0,25,23,5,0,0,
934,5 8 11 12,1,1,1.0,1.0,16,5,5,16,16,
935,5 6 8 10,1,1,1.0,1.0,11,6,5,11,11,
936,6 11 12 13,0,0,0.0,0.0,25,14,5,0,0,
937,2 2 8 8,1,1,1.0,1.0,5,1,5,5,5,
938,2 7 12 13,0,0,0.0,0.0,25,24,5,0,0,
939,2 6 8 12,1,1,0.047619047619047616,0.047619047619047616,21,13,5,1,1,
940,3 4 9 13,0,0,0.0,0.0,25,17,5,0,0,
941,4 5 10 12,0,0,0.0,0.0,25,20,5,0,0,
942,1 2 7 11,0,0,0.0,0.0,25,21,5,0,0,
943,4 5 6 8,0,0,0.0,0.0,25,21,5,0,0,
944,6 10 12 13,0,0,0.0,0.0,25,19,5,0,0,
945,1 3 9 9,0,0,0.0,0.0,25,20,5,0,0,
946,1 4 4 11,1,1,1.0,1.0,10,3,5,10,10,
947,2 3 9 10,0,0,0.0,0.0,25,18,5,0,0,
948,1 2 3 13,0,0,0.0,0.0,25,22,5,0,0,
949,1 6 6 6,0,0,0.0,0.0,25,17,5,0,0,
950,1 2 2 9,0,0,0.0,0.0,25,19,5,0,0,
951,1 3 6 11,1,1,1.0,1.0,5,1,5,5,5,
952,5 10 12 13,1,1,1.0,1.0,13,3,5,13,13,
953,2 3 6 6,1,1,1.0,1.0,5,1,5,5,5,
954,6 7 10 12,0,0,0.0,0.0,25,21,5,0,0,
955,7 8 8 12,0,0,0.0,0.0,25,23,5,0,0,
956,3 4 6 8,1,1,1.0,1.0,11,3,5,11,11,
957,1 7 9 11,1,1,0.11764705882352941,0.11764705882352941,17,12,5,2,2,
958,2 3 6 13,0,0,0.0,0.0,25,17,5,0,0,
959,2 2 5 12,0,0,0.0,0.0,25,21,5,0,0,
960,2 6 8 13,0,0,0.0,0.0,25,18,5,0,0,
961,8 8 10 12,0,0,0.0,0.0,25,16,5,0,0,
962,1 3 8 13,0,0,0.0,0.0,25,16,5,0,0,
963,4 4 7 10,0,0,0.0,0.0,25,20,5,0,0,
964,1 7 10 13,0,0,0.0,0.0,25,19,5,0,0,
965,1 9 10 13,0,0,0.0,0.0,25,19,5,0,0,
966,3 3 4 11,0,0,0.0,0.0,24,14,5,0,0,
967,2 5 7 7,0,0,0.0,0.0,25,15,5,0,0,
968,3 9 10 13,0,0,0.0,0.0,25,22,5,0,0,
969,2 3 4 7,1,1,0.4444444444444444,0.4444444444444444,9,6,5,4,4,
970,4 4 8 12,1,1,1.0,1.0,5,1,5,5,5,
971,1 2 6 10,1,1,0.11764705882352941,0.11764705882352941,17,16,5,2,2,
972,1 5 12 12,0,0,0.0,0.0,25,18,5,0,0,
973,5 6 6 8,0,0,0.0,0.0,23,17,5,0,0,
974,7 7 8 11,0,0,0.0,0.0,25,15,5,0,0,
975,1 3 7 10,1,1,0.375,0.375,16,12,5,6,6,
976,3 3 9 12,1,1,1.0,1.0,10,2,5,10,10,
977,3 5 7 10,0,0,0.0,0.0,25,21,5,0,0,
978,4 10 12 13,0,0,0.0,0.0,25,15,5,0,0,
979,2 3 10 12,1,1,0.23076923076923078,0.23076923076923078,13,10,5,3,3,
980,3 4 6 6,0,0,0.0,0.0,25,19,5,0,0,
